FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=17, fi_cycle=4, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=34, opcode=alloca
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=78, fi_cycle=160, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=55, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=8, fi_cycle=123, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=1, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=48, fi_cycle=63, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=4, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=159, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=17, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=51, fi_cycle=66, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=37, opcode=fdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=139, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=5, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=40, fi_cycle=146, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=69, fi_cycle=127, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=4, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=52, fi_cycle=28, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=21, opcode=fptrunc
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=223, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=0, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=5, fi_cycle=82, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=fcmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=77, fi_cycle=147, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=26, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=39, fi_cycle=217, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=7, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=51, fi_cycle=66, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=33, opcode=fdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=52, fi_cycle=28, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=4, opcode=fptrunc
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=46, fi_cycle=61, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=27, opcode=fsub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=203, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=5, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=36, fi_cycle=14, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=30, opcode=load
